iter,x,y,cost
1,0.3,3,3.645
2,0.57,3,2.95245
3,0.813,3,2.39148
4,1.0317,3,1.9371
5,1.22853,3,1.56905
6,1.40568,3,1.27093
7,1.56511,3,1.02946
8,1.7086,3,0.833859
9,1.83774,3,0.675426
10,1.95396,3,0.547095
11,2.05857,3,0.443147
12,2.15271,3,0.358949
13,2.23744,3,0.290749
14,2.3137,3,0.235506
15,2.38233,3,0.19076
16,2.44409,3,0.154516
17,2.49968,3,0.125158
18,2.54972,3,0.101378
19,2.59474,3,0.082116
20,2.63527,3,0.066514
21,2.67174,3,0.0538763
22,2.70457,3,0.0436398
23,2.73411,3,0.0353483
24,2.7607,3,0.0286321
25,2.78463,3,0.023192
26,2.80617,3,0.0187855
27,2.82555,3,0.0152163
28,2.843,3,0.0123252
29,2.8587,3,0.00998339
30,2.87283,3,0.00808655
31,2.88554,3,0.0065501
32,2.89699,3,0.00530558
33,2.90729,3,0.00429752
34,2.91656,3,0.00348099
35,2.92491,3,0.0028196
36,2.93241,3,0.00228388
37,2.93917,3,0.00184994
38,2.94526,3,0.00149845
39,2.95073,3,0.00121375
40,2.95566,3,0.000983135
41,2.96009,3,0.00079634
42,2.96408,3,0.000645035
43,2.96767,3,0.000522478
44,2.97091,3,0.000423207
45,2.97382,3,0.000342798
46,2.97643,3,0.000277666
47,2.97879,3,0.00022491
48,2.98091,3,0.000182177
49,2.98282,3,0.000147563
50,2.98454,3,0.000119526
51,2.98608,3,9.68163e-05
52,2.98748,3,7.84212e-05
53,2.98873,3,6.35212e-05
54,2.98986,3,5.14522e-05
55,2.99087,3,4.16762e-05
56,2.99178,3,3.37578e-05
57,2.9926,3,2.73438e-05
58,2.99334,3,2.21485e-05
59,2.99401,3,1.79403e-05
60,2.99461,3,1.45316e-05
61,2.99515,3,1.17706e-05
62,2.99563,3,9.53419e-06
63,2.99607,3,7.72269e-06
64,2.99646,3,6.25538e-06
65,2.99682,3,5.06686e-06
66,2.99713,3,4.10416e-06
67,2.99742,3,3.32437e-06
68,2.99768,3,2.69274e-06
69,2.99791,3,2.18112e-06
70,2.99812,3,1.7667e-06
71,2.99831,3,1.43103e-06
72,2.99848,3,1.15913e-06
73,2.99863,3,9.38899e-07
74,2.99877,3,7.60508e-07
75,2.99889,3,6.16012e-07
76,2.999,3,4.98969e-07
