iter,x,y,cost
1,1.5,15,721.125
2,2.25,-45,11520.3
3,2.625,195,184320
4,2.8125,-765,2.94912e+06
5,2.90625,3075,4.71859e+07
6,2.95312,-12285,7.54975e+08
7,2.97656,49155,1.20796e+10
8,2.98828,-196605,1.93274e+11
9,2.99414,786435,3.09238e+12
10,2.99707,-3.14572e+06,4.9478e+13
11,2.99854,1.25829e+07,7.91648e+14
12,2.99927,-5.03316e+07,1.26664e+16
13,2.99963,2.01327e+08,2.02662e+17
14,2.99982,-8.05306e+08,3.24259e+18
15,2.99991,3.22123e+09,5.18815e+19
16,2.99995,-1.28849e+10,8.30103e+20
17,2.99998,5.15396e+10,1.32817e+22
18,2.99999,-2.06158e+11,2.12506e+23
19,2.99999,8.24634e+11,3.4001e+24
20,3,-3.29853e+12,5.44017e+25
21,3,1.31941e+13,8.70427e+26
22,3,-5.27766e+13,1.39268e+28
23,3,2.11106e+14,2.22829e+29
24,3,-8.44425e+14,3.56527e+30
25,3,3.3777e+15,5.70443e+31
26,3,-1.35108e+16,9.12708e+32
27,3,5.40432e+16,1.46033e+34
28,3,-2.16173e+17,2.33653e+35
29,3,8.64691e+17,3.73845e+36
30,3,-3.45876e+18,5.98153e+37
31,3,1.38351e+19,9.57044e+38
32,3,-5.53402e+19,1.53127e+40
33,3,2.21361e+20,2.45003e+41
34,3,-8.85444e+20,3.92005e+42
35,3,3.54177e+21,6.27208e+43
36,3,-1.41671e+22,1.00353e+45
37,3,5.66684e+22,1.60565e+46
38,3,-2.26674e+23,2.56905e+47
39,3,9.06694e+23,4.11047e+48
40,3,-3.62678e+24,6.57676e+49
41,3,1.45071e+25,1.05228e+51
42,3,-5.80284e+25,1.68365e+52
43,3,2.32114e+26,2.69384e+53
44,3,-9.28455e+26,4.31014e+54
45,3,3.71382e+27,6.89623e+55
46,3,-1.48553e+28,1.1034e+57
47,3,5.94211e+28,1.76543e+58
48,3,-2.37684e+29,2.8247e+59
49,3,9.50738e+29,4.51951e+60
50,3,-3.80295e+30,7.23122e+61
51,3,1.52118e+31,1.157e+63
52,3,-6.08472e+31,1.85119e+64
53,3,2.43389e+32,2.96191e+65
54,3,-9.73556e+32,4.73905e+66
55,3,3.89422e+33,7.58249e+67
56,3,-1.55769e+34,1.2132e+69
57,3,6.23076e+34,1.94112e+70
58,3,-2.4923e+35,3.10579e+71
59,3,9.96921e+35,4.96926e+72
60,3,-3.98768e+36,7.95081e+73
61,3,1.59507e+37,1.27213e+75
62,3,-6.38029e+37,2.03541e+76
63,3,2.55212e+38,3.25665e+77
64,3,-1.02085e+39,5.21064e+78
65,3,4.08339e+39,8.33703e+79
66,3,-1.63336e+40,1.33392e+81
67,3,6.53342e+40,2.13428e+82
68,3,-2.61337e+41,3.41485e+83
69,3,1.04535e+42,5.46376e+84
70,3,-4.18139e+42,8.74201e+85
71,3,1.67256e+43,1.39872e+87
72,3,-6.69022e+43,2.23795e+88
73,3,2.67609e+44,3.58073e+89
74,3,-1.07044e+45,5.72916e+90
75,3,4.28174e+45,9.16666e+91
76,3,-1.7127e+46,1.46667e+93
77,3,6.85079e+46,2.34667e+94
78,3,-2.74032e+47,3.75466e+95
79,3,1.09613e+48,6.00746e+96
80,3,-4.3845e+48,9.61194e+97
81,3,1.7538e+49,1.53791e+99
82,3,-7.01521e+49,2.46066e+100
83,3,2.80608e+50,3.93705e+101
84,3,-1.12243e+51,6.29928e+102
85,3,4.48973e+51,1.00789e+104
86,3,-1.79589e+52,1.61262e+105
87,3,7.18357e+52,2.58019e+106
88,3,-2.87343e+53,4.1283e+107
89,3,1.14937e+54,6.60528e+108
90,3,-4.59749e+54,1.05684e+110
91,3,1.83899e+55,1.69095e+111
92,3,-7.35598e+55,2.70552e+112
93,3,2.94239e+56,4.32883e+113
94,3,-1.17696e+57,6.92613e+114
95,3,4.70783e+57,1.10818e+116
96,3,-1.88313e+58,1.77309e+117
97,3,7.53252e+58,2.83694e+118
98,3,-3.01301e+59,4.53911e+119
99,3,1.2052e+60,7.26258e+120
100,3,-4.82081e+60,1.16201e+122
101,3,1.92833e+61,1.85922e+123
102,3,-7.7133e+61,2.97475e+124
103,3,3.08532e+62,4.7596e+125
104,3,-1.23413e+63,7.61536e+126
105,3,4.93651e+63,1.21846e+128
106,3,-1.97461e+64,1.94953e+129
107,3,7.89842e+64,3.11925e+130
108,3,-3.15937e+65,4.99081e+131
109,3,1.26375e+66,7.98529e+132
110,3,-5.05499e+66,1.27765e+134
111,3,2.022e+67,2.04423e+135
112,3,-8.08798e+67,3.27077e+136
113,3,3.23519e+68,5.23324e+137
114,3,-1.29408e+69,8.37318e+138
115,3,5.17631e+69,1.33971e+140
116,3,-2.07052e+70,2.14353e+141
117,3,8.2821e+70,3.42966e+142
118,3,-3.31284e+71,5.48745e+143
119,3,1.32514e+72,8.77992e+144
120,3,-5.30054e+72,1.40479e+146
121,3,2.12022e+73,2.24766e+147
122,3,-8.48087e+73,3.59625e+148
123,3,3.39235e+74,5.75401e+149
124,3,-1.35694e+75,9.20641e+150
125,3,5.42775e+75,1.47303e+152
126,3,-2.1711e+76,2.35684e+153
127,3,8.68441e+76,3.77095e+154
128,3,-3.47376e+77,6.03351e+155
129,3,1.38951e+78,9.65362e+156
130,3,-5.55802e+78,1.54458e+158
131,3,2.22321e+79,2.47133e+159
132,3,-8.89283e+79,3.95412e+160
133,3,3.55713e+80,6.3266e+161
134,3,-1.42285e+81,1.01226e+163
135,3,5.69141e+81,1.61961e+164
136,3,-2.27657e+82,2.59137e+165
137,3,9.10626e+82,4.1462e+166
138,3,-3.6425e+83,6.63392e+167
139,3,1.457e+84,1.06143e+169
140,3,-5.82801e+84,1.69828e+170
141,3,2.3312e+85,2.71725e+171
142,3,-9.32481e+85,4.3476e+172
143,3,3.72992e+86,6.95617e+173
144,3,-1.49197e+87,1.11299e+175
145,3,5.96788e+87,1.78078e+176
146,3,-2.38715e+88,2.84925e+177
147,3,9.54861e+88,4.55879e+178
148,3,-3.81944e+89,7.29407e+179
