iter,x,y,cost
1,0.03,0.3,40.8605
2,0.0597,0.57,33.8472
3,0.089103,0.813,28.1515
4,0.118212,1.0317,23.5234
5,0.14703,1.22853,19.7602
6,0.17556,1.40568,16.6981
7,0.203804,1.56511,14.2039
8,0.231766,1.7086,12.1702
9,0.259448,1.83774,10.5096
10,0.286854,1.95396,9.15153
11,0.313985,2.05857,8.03881
12,0.340845,2.15271,7.12504
13,0.367437,2.23744,6.37268
14,0.393763,2.3137,5.7513
15,0.419825,2.38233,5.23625
16,0.445627,2.44409,4.80757
17,0.47117,2.49968,4.44907
18,0.496459,2.54972,4.14764
19,0.521494,2.59474,3.89266
20,0.546279,2.63527,3.67551
21,0.570816,2.67174,3.48923
22,0.595108,2.70457,3.32815
23,0.619157,2.73411,3.18769
24,0.642966,2.7607,3.06413
25,0.666536,2.78463,2.95445
26,0.689871,2.80617,2.8562
27,0.712972,2.82555,2.76741
28,0.735842,2.843,2.68646
29,0.758484,2.8587,2.61203
30,0.780899,2.87283,2.54307
31,0.80309,2.88554,2.47871
32,0.825059,2.89699,2.41824
33,0.846808,2.90729,2.36109
34,0.86834,2.91656,2.3068
35,0.889657,2.92491,2.25497
36,0.91076,2.93241,2.2053
37,0.931653,2.93917,2.15753
38,0.952336,2.94526,2.11145
39,0.972813,2.95073,2.06688
40,0.993085,2.95566,2.02369
41,1.01315,2.96009,1.98174
42,1.03302,2.96408,1.94095
43,1.05269,2.96767,1.90123
44,1.07217,2.97091,1.86251
45,1.09144,2.97382,1.82472
46,1.11053,2.97643,1.78783
47,1.12942,2.97879,1.75178
48,1.14813,2.98091,1.71653
49,1.16665,2.98282,1.68206
50,1.18498,2.98454,1.64834
51,1.20313,2.98608,1.61534
52,1.2211,2.98748,1.58303
53,1.23889,2.98873,1.55139
54,1.2565,2.98986,1.52041
55,1.27394,2.99087,1.49007
56,1.2912,2.99178,1.46034
57,1.30828,2.9926,1.43122
58,1.3252,2.99334,1.4027
59,1.34195,2.99401,1.37475
60,1.35853,2.99461,1.34736
61,1.37494,2.99515,1.32052
